Cluster,Center_Latitude,Center_Longitude,Total_Accidents,Dominant_Severity,Dominant_Weather,Dominant_Road_Type,Average_Speed,Average_Casualties,Peak_Hour,Fatal_Count,Serious_Count,Slight_Count
2244,50.534348,-3.684381,27,Slight,Fine No High Winds,Single Carriageway,54.07,1.22,8.0,1,3,23
2535,52.9919,-3.3835459,27,Slight,Fine No High Winds,Single Carriageway,56.3,1.44,14.0,0,5,22
3118,51.20522,-0.30905625,27,Slight,Fine No High Winds,Single Carriageway,40.74,1.44,12.0,1,3,23
2251,50.49929,-3.6284616,27,Slight,Fine No High Winds,Single Carriageway,44.44,1.44,15.0,0,4,23
2502,50.761497,-2.0578816,27,Slight,Fine No High Winds,Single Carriageway,55.93,2.93,8.0,0,3,24
2954,54.843357,-2.9848251,27,Slight,Fine No High Winds,Single Carriageway,31.11,1.22,8.0,0,4,23
2450,51.357624,-2.0988615,27,Slight,Fine No High Winds,Single Carriageway,60.0,1.7,13.0,2,3,22
3030,53.185543,-1.5430499,27,Slight,Fine No High Winds,Single Carriageway,60.0,1.74,8.0,0,7,20
1266,52.257828,0.06610622,27,Slight,Fine No High Winds,Single Carriageway,32.59,1.41,17.0,0,0,27
3074,51.869316,1.0377141,27,Slight,Fine No High Winds,Single Carriageway,40.74,1.81,11.0,0,4,23
1086,53.260197,-0.7710547,27,Slight,Fine No High Winds,Single Carriageway,55.56,1.63,12.0,1,4,22
1581,51.67692,0.2938352,27,Slight,Fine No High Winds,Single Carriageway,37.41,1.26,16.0,0,6,21
2430,51.48542,-1.7150481,27,Slight,Fine No High Winds,Single Carriageway,59.63,1.93,8.0,3,7,17
1057,53.161198,0.24869837,27,Slight,Fine No High Winds,Single Carriageway,46.3,1.37,15.0,0,4,23
3042,53.05596,0.18189377,27,Slight,Fine No High Winds,Single Carriageway,54.81,1.44,15.0,1,1,25
3084,52.090164,-1.3372078,27,Slight,Fine No High Winds,Dual Carriageway,67.41,1.52,15.0,0,2,25
2424,51.70846,-1.775923,27,Slight,Fine No High Winds,Single Carriageway,34.07,1.19,15.0,0,5,22
1669,51.788803,-1.5819188,27,Slight,Fine No High Winds,Roundabout,63.33,1.44,8.0,1,1,25
2409,51.90696,-2.2938745,27,Slight,Fine No High Winds,Single Carriageway,52.96,1.41,17.0,0,8,19
1676,51.882587,-1.2291784,27,Slight,Fine No High Winds,Single Carriageway,52.59,1.96,17.0,2,8,17
1677,51.583225,-1.2689595,27,Slight,Fine No High Winds,Single Carriageway,51.85,1.7,17.0,0,5,22
